Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag
0.000,35.28,15.20,13.91,0.2226,0.1193,-1.2200,0.9708,-0.0257,-1.0332
0.000,-35.79,-5.29,-10.23,0.2342,0.2631,-1.1569,0.9456,0.1295,-1.0604
0.000,11.64,-13.47,-21.79,0.1824,0.2027,-0.9288,0.9749,0.0733,-1.0545
0.000,18.69,3.53,-20.14,0.1964,0.1649,-0.7706,0.9958,0.1059,-1.1090
0.000,10.86,0.04,-1.49,0.2068,0.0573,-1.1203,1.0471,0.0809,-1.0610
0.000,-14.08,-8.36,-19.48,0.2759,-0.0125,-1.1864,0.9279,-0.0749,-1.0961
0.000,-14.60,1.77,-13.66,0.1530,0.2510,-1.2010,0.9512,-0.0122,-1.1303
0.000,4.68,-10.58,1.09,0.1199,0.2349,-0.9772,1.0156,-0.0281,-1.0717
0.000,16.60,7.33,27.33,0.0548,0.1595,-0.7694,0.9765,-0.0037,-1.0456
0.000,-32.64,4.78,31.90,0.1620,-0.0041,-1.1903,1.0723,0.0373,-1.0413
0.000,-13.79,-2.79,9.88,0.3076,0.0174,-1.2851,1.0207,0.0381,-1.0644
0.000,57.84,21.24,49.36,0.0875,0.0623,-1.2032,0.9626,0.0742,-1.0049
0.000,-9.16,-19.29,-11.94,0.1461,0.1035,-1.1436,1.0122,-0.0023,-1.0757
0.000,-2.21,-14.08,-9.74,0.1099,0.1041,-0.9595,1.0192,-0.0287,-1.0210
0.000,35.79,10.79,-12.83,0.1629,0.1333,-0.7635,0.9951,0.0555,-1.0894
0.000,-20.69,25.78,-4.65,0.2912,-0.0279,-1.2082,0.9854,-0.0041,-1.0838
0.000,30.02,-7.57,-19.46,0.3248,0.0841,-1.1198,1.0900,-0.0509,-1.0261
0.000,17.91,5.33,-25.90,0.3667,0.2193,-1.1984,1.0621,-0.0137,-1.0719
0.000,-21.88,1.64,-12.27,0.2692,0.2017,-1.1603,1.0893,-0.0834,-0.9903
0.000,2.56,3.76,-2.98,0.2141,0.2618,-0.9208,1.0271,-0.0668,-1.0723
0.000,-15.44,17.18,20.25,0.0767,0.1271,-0.8731,0.9841,-0.0776,-1.0857
0.000,-16.16,-0.39,27.35,0.1192,0.0425,-1.0271,1.0512,-0.0096,-1.0399
0.000,-13.15,9.72,17.38,0.2900,0.0334,-1.3288,0.9881,-0.0030,-1.0549
0.000,-8.28,-1.16,30.15,0.2822,0.0297,-1.2663,0.9312,-0.0168,-1.0960
0.000,19.49,-27.70,22.48,0.2014,0.0940,-1.2796,0.9676,0.0180,-1.0131
0.000,-16.56,-28.77,-15.94,0.1668,0.1885,-1.1346,0.9757,-0.0309,-1.0915
0.000,15.02,-15.70,-33.08,0.1882,0.1632,-0.7854,1.1057,-0.0322,-0.9973
0.000,0.14,15.62,-4.76,0.2575,0.1452,-1.0263,1.0370,0.1135,-1.0270
0.000,31.69,-11.76,-10.52,0.1822,0.1472,-1.2040,0.9988,0.1263,-1.0778
0.000,10.81,5.27,-14.62,0.3075,0.1645,-1.3821,0.9948,-0.0510,-1.0743
0.000,-26.12,2.38,-15.56,0.1720,0.2139,-1.1979,0.9290,-0.1955,-1.0813
0.000,5.04,10.45,8.24,0.0915,0.2549,-0.9066,0.9546,-0.0655,-1.1323
0.000,-21.88,11.38,30.57,0.1416,0.1293,-0.9945,0.8699,-0.0507,-1.1169
0.000,10.41,-0.88,41.68,0.0843,0.0285,-1.0521,0.8787,-0.1207,-1.1089
0.000,24.36,5.56,12.28,0.3707,0.1512,-1.3609,0.7018,-0.1378,-1.1924
0.000,-8.58,6.89,13.31,0.1930,0.2060,-1.2433,0.6719,-0.2053,-1.2210
0.000,15.72,-6.88,-5.97,0.2039,0.1464,-0.8818,0.6670,-0.3000,-1.1691
0.000,-1.23,5.26,-20.10,0.2081,0.1243,-0.8031,0.6183,-0.2654,-1.1859
0.000,35.61,3.85,-39.14,0.2814,0.1122,-1.0426,0.5611,-0.1974,-1.2673
0.000,-36.37,-7.97,-20.48,0.3691,0.1394,-1.4139,0.7696,-0.2467,-1.1353
0.000,-39.52,11.56,-5.74,0.3207,0.3364,-1.1935,0.7232,-0.2410,-1.1576
0.000,-33.72,0.07,24.13,0.2294,0.2498,-1.0733,0.7338,-0.3035,-1.1245
0.000,2.84,-10.31,43.31,0.1064,0.1072,-0.8299,0.6595,-0.3049,-1.0889
0.000,-24.21,7.73,26.02,0.2017,0.0513,-1.1552,0.5729,-0.2289,-1.2000
0.000,4.60,7.92,5.02,0.3469,0.0371,-1.2010,0.4556,-0.2580,-1.2879
0.000,20.39,20.91,35.46,0.1563,0.1006,-1.1561,0.3830,-0.2761,-1.2547
